calc_id,slug,block_slug,lang,match_score,found_keywords,wrong_signals,html_path
001,hormigon-masa,estructuras,en,0.24,concrete; cement; reinforcement; slab; footing,,src\calculators\001\en.html
001,hormigon-masa,estructuras,de,0.14,beton; zement; bewehrung,,src\calculators\001\de.html
001,hormigon-masa,estructuras,es,0.19,cement; cemento; losa; cemento,,src\calculators\001\es.html
001,hormigon-masa,estructuras,fr,0.1,armature; fondation,,src\calculators\001\fr.html
001,hormigon-masa,estructuras,it,0.24,cement; cemento; calcestruzzo; cemento; armatura,,src\calculators\001\it.html
001,hormigon-masa,estructuras,pt,0.1,concreto; cimento,,src\calculators\001\pt.html
002,hormigon-armado,estructuras,en,0.19,concrete; cement; reinforcement; slab,,src\calculators\002\en.html
002,hormigon-armado,estructuras,de,0.14,concrete; beton; zement,,src\calculators\002\de.html
002,hormigon-armado,estructuras,es,0.19,cement; concreto; cemento; cemento,,src\calculators\002\es.html
002,hormigon-armado,estructuras,fr,0.1,concrete; fondation,,src\calculators\002\fr.html
002,hormigon-armado,estructuras,it,0.24,concrete; cement; cemento; calcestruzzo; cemento,,src\calculators\002\it.html
002,hormigon-armado,estructuras,pt,0.14,concrete; concreto; cimento,,src\calculators\002\pt.html
003,zapata-aislada,estructuras,en,0.19,concrete; cement; reinforcement; footing,,src\calculators\003\en.html
003,zapata-aislada,estructuras,de,0.14,footing; beton; zement,,src\calculators\003\de.html
003,zapata-aislada,estructuras,es,0.19,cement; concreto; cemento; cemento,,src\calculators\003\es.html
003,zapata-aislada,estructuras,fr,0.1,footing; fondation,,src\calculators\003\fr.html
003,zapata-aislada,estructuras,it,0.24,cement; footing; cemento; calcestruzzo; cemento,,src\calculators\003\it.html
003,zapata-aislada,estructuras,pt,0.14,footing; concreto; cimento,,src\calculators\003\pt.html
004,muro-contencion,estructuras,en,0.14,concrete; cement; slab,,src\calculators\004\en.html
004,muro-contencion,estructuras,de,0.1,beton; zement,,src\calculators\004\de.html
004,muro-contencion,estructuras,es,0.19,cement; concreto; cemento; cemento,,src\calculators\004\es.html
004,muro-contencion,estructuras,fr,0.05,fondation,,src\calculators\004\fr.html
004,muro-contencion,estructuras,it,0.19,cement; cemento; calcestruzzo; cemento,,src\calculators\004\it.html
004,muro-contencion,estructuras,pt,0.1,concreto; cimento,,src\calculators\004\pt.html
005,pilares-hormigon,estructuras,en,0.24,concrete; cement; reinforcement; slab; footing,,src\calculators\005\en.html
005,pilares-hormigon,estructuras,de,0.14,concrete; beton; zement,,src\calculators\005\de.html
005,pilares-hormigon,estructuras,es,0.19,cement; concreto; cemento; cemento,,src\calculators\005\es.html
005,pilares-hormigon,estructuras,fr,0.1,concrete; fondation,,src\calculators\005\fr.html
005,pilares-hormigon,estructuras,it,0.24,concrete; cement; cemento; calcestruzzo; cemento,,src\calculators\005\it.html
005,pilares-hormigon,estructuras,pt,0.14,concrete; concreto; cimento,,src\calculators\005\pt.html
006,vigas-hormigon,estructuras,en,0.19,concrete; cement; reinforcement; slab,,src\calculators\006\en.html
006,vigas-hormigon,estructuras,de,0.14,concrete; beton; zement,,src\calculators\006\de.html
006,vigas-hormigon,estructuras,es,0.19,cement; concreto; cemento; cemento,,src\calculators\006\es.html
006,vigas-hormigon,estructuras,fr,0.1,concrete; fondation,,src\calculators\006\fr.html
006,vigas-hormigon,estructuras,it,0.24,concrete; cement; cemento; calcestruzzo; cemento,,src\calculators\006\it.html
006,vigas-hormigon,estructuras,pt,0.14,concrete; concreto; cimento,,src\calculators\006\pt.html
007,forjado-vigueta,estructuras,en,0.19,concrete; cement; reinforcement; slab,,src\calculators\007\en.html
007,forjado-vigueta,estructuras,de,0.1,slab; beton,,src\calculators\007\de.html
007,forjado-vigueta,estructuras,es,0.05,concreto,,src\calculators\007\es.html
007,forjado-vigueta,estructuras,fr,0.1,slab; fondation,,src\calculators\007\fr.html
007,forjado-vigueta,estructuras,it,0.1,slab; calcestruzzo,,src\calculators\007\it.html
007,forjado-vigueta,estructuras,pt,0.1,slab; concreto,,src\calculators\007\pt.html
008,losa-hormigon,estructuras,en,0.19,concrete; cement; reinforcement; slab,,src\calculators\008\en.html
008,losa-hormigon,estructuras,de,0.19,concrete; slab; beton; zement,,src\calculators\008\de.html
008,losa-hormigon,estructuras,es,0.24,cement; concreto; cemento; losa; cemento,,src\calculators\008\es.html
008,losa-hormigon,estructuras,fr,0.14,concrete; slab; fondation,,src\calculators\008\fr.html
008,losa-hormigon,estructuras,pt,0.19,concrete; slab; concreto; cimento,,src\calculators\008\pt.html
009,cimiento-corrido,estructuras,en,0.19,concrete; cement; reinforcement; footing,,src\calculators\009\en.html
009,cimiento-corrido,estructuras,de,0.1,beton; zement,,src\calculators\009\de.html
009,cimiento-corrido,estructuras,es,0.19,cement; concreto; cemento; cemento,,src\calculators\009\es.html
009,cimiento-corrido,estructuras,fr,0.05,fondation,,src\calculators\009\fr.html
009,cimiento-corrido,estructuras,it,0.19,cement; cemento; calcestruzzo; cemento,,src\calculators\009\it.html
009,cimiento-corrido,estructuras,pt,0.1,concreto; cimento,,src\calculators\009\pt.html
010,excavacion-tierra,estructuras,en,0.05,cement,,src\calculators\010\en.html
010,excavacion-tierra,estructuras,de,0.05,beton,,src\calculators\010\de.html
010,excavacion-tierra,estructuras,es,0.05,concreto,,src\calculators\010\es.html
010,excavacion-tierra,estructuras,fr,0.05,fondation,,src\calculators\010\fr.html
010,excavacion-tierra,estructuras,it,0.05,calcestruzzo,,src\calculators\010\it.html
010,excavacion-tierra,estructuras,pt,0.05,concreto,,src\calculators\010\pt.html
011,ladrillo-hueco,mamposteria,es,0.21,ladrillo; bloque; mortero; muro; mur,,src\calculators\011\es.html
011,ladrillo-hueco,mamposteria,fr,0.17,brick; brique; mortier; mur,,src\calculators\011\fr.html
012,ladrillo-cara-vista,mamposteria,en,0.12,brick; mortar; wall,,src\calculators\012\en.html
012,ladrillo-cara-vista,mamposteria,es,0.21,ladrillo; bloque; mortero; muro; mur,,src\calculators\012\es.html
012,ladrillo-cara-vista,mamposteria,fr,0.17,brick; brique; mortier; mur,,src\calculators\012\fr.html
013,bloque-hormigon,mamposteria,de,0.21,block; ziegel; mauer; mauerwerk; bloc,,src\calculators\013\de.html
013,bloque-hormigon,mamposteria,es,0.21,ladrillo; bloque; mortero; muro; mur,,src\calculators\013\es.html
013,bloque-hormigon,mamposteria,fr,0.21,block; brique; bloc; mortier; mur,,src\calculators\013\fr.html
014,tabique-pladur,mamposteria,en,0.04,wall,,src\calculators\014\en.html
014,tabique-pladur,mamposteria,es,0.21,ladrillo; bloque; mortero; muro; mur,,src\calculators\014\es.html
014,tabique-pladur,mamposteria,fr,0.17,wall; brique; mortier; mur,,src\calculators\014\fr.html
014,tabique-pladur,mamposteria,it,0.21,wall; bloc; mur; muratura; malta,,src\calculators\014\it.html
015,aislamiento-termico,mamposteria,en,0.04,wall,,src\calculators\015\en.html
015,aislamiento-termico,mamposteria,de,0.21,block; ziegel; mauer; mauerwerk; bloc,,src\calculators\015\de.html
015,aislamiento-termico,mamposteria,es,0.21,ladrillo; bloque; mortero; muro; mur,,src\calculators\015\es.html
015,aislamiento-termico,mamposteria,fr,0.12,brique; mortier; mur,,src\calculators\015\fr.html
015,aislamiento-termico,mamposteria,it,0.17,bloc; mur; muratura; malta,,src\calculators\015\it.html
015,aislamiento-termico,mamposteria,pt,0.21,bloc; tijolo; alvenaria; argamassa; parede,,src\calculators\015\pt.html
016,revoco-proyectado,mamposteria,en,0.17,brick; block; wall; bloc,,src\calculators\016\en.html
016,revoco-proyectado,mamposteria,de,0.21,block; ziegel; mauer; mauerwerk; bloc,,src\calculators\016\de.html
016,revoco-proyectado,mamposteria,es,0.21,ladrillo; bloque; mortero; muro; mur,,src\calculators\016\es.html
016,revoco-proyectado,mamposteria,fr,0.12,brique; mortier; mur,,src\calculators\016\fr.html
016,revoco-proyectado,mamposteria,it,0.21,muro; bloc; mur; muratura; malta,,src\calculators\016\it.html
016,revoco-proyectado,mamposteria,pt,0.21,bloc; tijolo; alvenaria; argamassa; parede,,src\calculators\016\pt.html
017,mortero-cemento,mamposteria,en,0.12,brick; mortar; wall,,src\calculators\017\en.html
017,mortero-cemento,mamposteria,es,0.21,ladrillo; bloque; mortero; muro; mur,,src\calculators\017\es.html
017,mortero-cemento,mamposteria,fr,0.17,mortar; brique; mortier; mur,,src\calculators\017\fr.html
017,mortero-cemento,mamposteria,it,0.21,mortar; bloc; mur; muratura; malta,,src\calculators\017\it.html
018,enfoscado-guarnecido,mamposteria,en,0.08,brick; wall,,src\calculators\018\en.html
018,enfoscado-guarnecido,mamposteria,de,0.21,block; ziegel; mauer; mauerwerk; bloc,,src\calculators\018\de.html
018,enfoscado-guarnecido,mamposteria,es,0.21,ladrillo; bloque; mortero; muro; mur,,src\calculators\018\es.html
018,enfoscado-guarnecido,mamposteria,fr,0.12,brique; mortier; mur,,src\calculators\018\fr.html
018,enfoscado-guarnecido,mamposteria,it,0.17,bloc; mur; muratura; malta,,src\calculators\018\it.html
018,enfoscado-guarnecido,mamposteria,pt,0.21,bloc; tijolo; alvenaria; argamassa; parede,,src\calculators\018\pt.html
019,mamposteria-piedra,mamposteria,en,0.12,mortar; wall; masonry,,src\calculators\019\en.html
019,mamposteria-piedra,mamposteria,es,0.21,ladrillo; bloque; mortero; muro; mur,,src\calculators\019\es.html
019,mamposteria-piedra,mamposteria,fr,0.17,masonry; brique; mortier; mur,,src\calculators\019\fr.html
019,mamposteria-piedra,mamposteria,it,0.21,masonry; bloc; mur; muratura; malta,,src\calculators\019\it.html
020,cubierta-teja,mamposteria,en,0.0,,,src\calculators\020\en.html
020,cubierta-teja,mamposteria,de,0.21,block; ziegel; mauer; mauerwerk; bloc,,src\calculators\020\de.html
020,cubierta-teja,mamposteria,es,0.21,ladrillo; bloque; mortero; muro; mur,,src\calculators\020\es.html
020,cubierta-teja,mamposteria,fr,0.12,brique; mortier; mur,,src\calculators\020\fr.html
020,cubierta-teja,mamposteria,it,0.17,bloc; mur; muratura; malta,,src\calculators\020\it.html
020,cubierta-teja,mamposteria,pt,0.21,bloc; tijolo; alvenaria; argamassa; parede,,src\calculators\020\pt.html
021,solado-ceramico,pavimentos,de,0.43,floor; tile; sol,construction keywords in pavimentos: ['ziegel'],src\calculators\021\de.html
021,solado-ceramico,pavimentos,es,0.14,sol,construction keywords in pavimentos: ['mortero'],src\calculators\021\es.html
022,porcelanico,pavimentos,de,0.14,sol,construction keywords in pavimentos: ['ziegel'],src\calculators\022\de.html
022,porcelanico,pavimentos,es,0.0,,construction keywords in pavimentos: ['mortero'],src\calculators\022\es.html
022,porcelanico,pavimentos,fr,0.14,tile,,src\calculators\022\fr.html
022,porcelanico,pavimentos,it,0.14,tile,,src\calculators\022\it.html
022,porcelanico,pavimentos,pt,0.0,,,src\calculators\022\pt.html
023,laminado-flotante,pavimentos,de,0.43,floor; boden; sol,construction keywords in pavimentos: ['ziegel'],src\calculators\023\de.html
023,laminado-flotante,pavimentos,es,0.0,,construction keywords in pavimentos: ['mortero'],src\calculators\023\es.html
023,laminado-flotante,pavimentos,pt,0.14,floor,,src\calculators\023\pt.html
024,parquet-madera,pavimentos,de,0.14,sol,construction keywords in pavimentos: ['ziegel'],src\calculators\024\de.html
024,parquet-madera,pavimentos,es,0.0,,construction keywords in pavimentos: ['mortero'],src\calculators\024\es.html
024,parquet-madera,pavimentos,fr,0.14,tile,,src\calculators\024\fr.html
024,parquet-madera,pavimentos,pt,0.0,,,src\calculators\024\pt.html
025,marmol-granito,pavimentos,de,0.14,sol,construction keywords in pavimentos: ['ziegel'],src\calculators\025\de.html
025,marmol-granito,pavimentos,es,0.0,,construction keywords in pavimentos: ['mortero'],src\calculators\025\es.html
025,marmol-granito,pavimentos,fr,0.14,tile,,src\calculators\025\fr.html
025,marmol-granito,pavimentos,pt,0.0,,,src\calculators\025\pt.html
026,terrazo,pavimentos,en,0.29,floor; tile,construction keywords in pavimentos: ['mortar estimate'],src\calculators\026\en.html
